UniqueID,Amount,Date
SYS-000001,63.4,2025-03-06
SYS-000002,89.3,2025-02-28
SYS-000003,37.8,2025-03-03
SYS-000004,16.1,2025-03-02
SYS-000005,58.0,2025-02-28
SYS-000006,57.1,2025-03-09
SYS-000007,52.1,2025-03-02
SYS-000008,28.0,2025-03-03
SYS-000009,29.5,2025-03-08
SYS-000010,9.1,2025-03-08
SYS-000011,65.7,2025-03-04
SYS-000012,58.3,2025-03-09
SYS-000013,29.0,2025-02-28
SYS-000014,66.9,2025-03-03
SYS-000015,6.1,2025-03-03
SYS-000016,96.7,2025-03-05
SYS-000017,32.7,2025-03-03
SYS-000018,79.8,2025-03-05
SYS-000019,44.6,2025-03-05
SYS-000020,52.2,2025-03-09
SYS-000021,53.4,2025-02-28
SYS-000022,71.0,2025-03-03
SYS-000023,50.7,2025-03-06
SYS-000024,5.9,2025-03-01
SYS-000025,51.6,2025-03-06
SYS-000026,92.7,2025-03-03
SYS-000027,83.0,2025-03-07
SYS-000028,22.9,2025-03-06
SYS-000029,6.6,2025-03-05
SYS-000030,70.5,2025-03-02
