UniqueID,Amount,Date
BCA0,74.722,2024-05-02
BCA1,-15.352,2024-04-01
BCA2,-36.022,2024-09-01
BCA3,-10.257,2025-02-01
BCA4,89.426,2025-03-04
BCA5,-19.647,2025-01-01
BCA6,-90.065,2025-02-05
BCA7,97.839,2024-12-01
BCA8,52.437,2024-05-07
BCA9,52.586,2024-04-06
BCA10,95.274,2024-05-06
BCA11,91.804,2024-12-01
BCA12,-21.294,2025-02-10
BCA13,-37.161,2024-07-09
BCA14,-88.756,2024-11-04
BCA15,14.776,2024-09-06
BCA16,13.267,2024-05-04
BCA17,-18.750,2024-12-05
BCA18,-16.742,2024-04-06
BCA19,80.290,2024-11-06
BCA20,97.386,2024-05-07
BCA21,-42.763,2024-12-10
BCA22,-78.969,2024-04-10
BCA23,87.359,2024-12-03
BCA24,52.905,2025-03-06
BCA25,-76.774,2024-11-04
BCA26,90.570,2025-02-05
BCA27,-90.640,2025-01-02
BCA28,-34.638,2025-03-07
BCA29,-9.472,2024-10-03
BCA30,-30.020,2024-10-05
BCA31,-10.613,2025-01-05
BCA32,40.888,2024-08-10
BCA33,56.492,2024-08-02
BCA34,-6.377,2024-04-04
BCA35,13.508,2025-03-05
BCA36,64.204,2024-09-04
BCA37,-68.238,2025-03-08
BCA38,76.873,2024-04-10
BCA39,3.395,2024-06-04
BCA40,-18.803,2024-12-01
BCA41,-89.820,2024-08-07
BCA42,0.098,2024-11-08
BCA43,-89.126,2024-11-03
BCA44,99.848,2024-07-01
BCA45,170.875,2025-03-08
BCA46,-29.772,2024-09-05
BCA47,-89.919,2024-08-02
BCA48,95.006,2024-07-01
