UniqueID,Amount,Date
BRI0,35.889,2024-05-10
BRI1,33.521,2024-04-07
BRI2,-41.541,2025-01-07
BRI3,62.350,2024-08-02
BRI4,-73.719,2025-01-08
BRI5,-0.283,2025-02-01
BRI6,25.667,2024-12-10
BRI7,-83.491,2025-01-04
BRI8,62.378,2025-03-06
BRI9,-62.750,2024-12-03
BRI10,-16.428,2025-02-05
BRI11,-80.017,2024-05-07
BRI12,-6.075,2024-12-04
BRI13,-98.544,2025-02-01
BRI14,48.539,2024-07-01
BRI15,29.768,2024-04-05
BRI16,-61.598,2024-04-10
BRI17,48.041,2024-05-09
BRI18,-39.198,2025-03-04
BRI19,-0.595,2025-01-07
BRI20,63.717,2025-02-05
BRI21,-30.658,2025-02-10
BRI22,-14.089,2024-11-08
BRI23,23.559,2024-09-09
BRI24,-63.115,2024-11-08
BRI25,-92.107,2024-12-01
BRI26,-89.112,2025-02-10
BRI27,4.910,2024-11-10
BRI28,66.525,2025-01-07
BRI29,-61.711,2025-01-03
BRI30,-57.534,2024-06-07
BRI31,-2.193,2024-04-08
BRI32,13.227,2024-12-05
BRI33,-48.458,2024-05-02
BRI34,77.438,2024-10-10
BRI35,47.793,2024-12-08
BRI36,-55.774,2025-01-01
BRI37,79.615,2025-02-06
BRI38,93.438,2024-10-07
BRI39,67.388,2025-03-09
BRI40,23.217,2024-05-06
BRI41,27.238,2024-12-07
BRI42,31.363,2024-11-06
BRI43,37.035,2024-07-03
BRI44,-61.792,2024-05-08
BRI45,-0.253,2024-11-08
BRI46,34.190,2024-05-01
BRI47,3.761,2025-01-08
BRI48,79.938,2025-03-07
BRI49,86.081,2024-05-08
BRI50,-92.118,2024-07-05
BRI51,33.902,2025-03-06
BRI52,-71.766,2024-05-10
BRI53,17.486,2025-01-03
BRI54,65.624,2024-04-06
BRI55,-96.579,2025-03-01
BRI56,-98.787,2025-03-07
BRI57,14.463,2024-10-04
BRI58,-92.516,2024-04-09
BRI59,-77.415,2024-07-04
BRI60,-71.643,2024-07-04
BRI61,1.775,2024-05-09
BRI62,-59.480,2024-07-01
BRI63,2.995,2024-08-04
BRI64,69.473,2024-12-01
BRI65,-13.270,2024-09-04
BRI66,95.516,2024-07-04
