UniqueID,Amount,Date
MANDIRI0,79.549316,2024-12-06
MANDIRI1,-83.772551,2025-03-01
MANDIRI2,56.898733,2024-05-05
MANDIRI3,11.622070,2024-08-09
MANDIRI4,3.652601,2024-06-05
MANDIRI5,-75.656413,2025-03-09
MANDIRI6,-75.171443,2024-09-06
MANDIRI7,-69.470518,2024-09-01
MANDIRI8,24.129607,2024-10-02
MANDIRI9,86.421062,2025-01-31
MANDIRI10,-47.540771,2024-07-06
MANDIRI11,5.145309,2025-02-04
MANDIRI12,12.346602,2024-04-09
MANDIRI13,93.444926,2024-11-03
MANDIRI14,-39.517912,2024-07-31
MANDIRI15,-20.549302,2024-04-08
MANDIRI16,47.866439,2025-02-09
MANDIRI17,-31.090690,2024-09-07
MANDIRI18,-73.447034,2024-11-08
MANDIRI19,-78.367946,2024-08-07
MANDIRI20,48.715919,2024-08-05
MANDIRI21,-30.713839,2024-12-31
MANDIRI22,-53.793566,2024-05-06
