TrxID,Amount,TransactionTime
SYS-000001,2.5,2025-03-07T02:29:34
SYS-000002,97.1,2025-03-05T02:29:34
SYS-000003,29.2,2025-03-01T02:29:34
SYS-000004,83.1,2025-03-06T02:29:34
SYS-000005,57.7,2025-03-06T02:29:34
SYS-000006,94.0,2025-03-08T02:29:34
SYS-000007,23.0,2025-03-03T02:29:34
SYS-000008,21.5,2025-03-01T02:29:34
SYS-000009,35.8,2025-03-04T02:29:34
SYS-000010,16.4,2025-03-07T02:29:34
SYS-000011,81.1,2025-02-28T02:29:34
SYS-000012,66.1,2025-03-08T02:29:34
SYS-000013,70.0,2025-03-09T02:29:34
SYS-000014,73.5,2025-02-28T02:29:34
SYS-000015,82.8,2025-03-09T02:29:34
SYS-000016,61.1,2025-03-06T02:29:34
SYS-000017,84.4,2025-03-08T02:29:34
SYS-000018,39.9,2025-02-28T02:29:34
SYS-000019,38.0,2025-03-06T02:29:34
SYS-000020,13.6,2025-03-08T02:29:34
SYS-000021,31.9,2025-03-05T02:29:34
SYS-000022,65.9,2025-03-04T02:29:34
SYS-000023,14.7,2025-03-02T02:29:34
SYS-000024,7.8,2025-02-28T02:29:34
SYS-000025,31.4,2025-03-03T02:29:34
SYS-000026,60.3,2025-03-04T02:29:34
SYS-000027,95.8,2025-03-04T02:29:34
SYS-000028,31.7,2025-03-03T02:29:34
SYS-000029,17.5,2025-03-05T02:29:34
SYS-000030,35.7,2025-03-06T02:29:34
SYS-000031,93.2,2025-03-09T02:29:34
SYS-000032,14.6,2025-03-03T02:29:34
SYS-000033,79.1,2025-03-07T02:29:34
SYS-000034,7.9,2025-03-05T02:29:34
SYS-000035,32.2,2025-03-02T02:29:34
SYS-000036,97.5,2025-03-04T02:29:34
SYS-000037,70.7,2025-03-03T02:29:34
SYS-000038,8.8,2025-02-28T02:29:34
SYS-000039,34.6,2025-03-06T02:29:34
SYS-000040,8.9,2025-03-06T02:29:34
SYS-000041,25.9,2025-03-08T02:29:34
SYS-000042,4.3,2025-03-07T02:29:34
SYS-000043,48.9,2025-03-06T02:29:34
SYS-000044,29.7,2025-03-08T02:29:34
SYS-000045,64.5,2025-03-08T02:29:34
SYS-000046,14.8,2025-03-03T02:29:34
SYS-000047,96.9,2025-03-01T02:29:34
SYS-000048,33.9,2025-03-04T02:29:34
SYS-000049,89.5,2025-02-28T02:29:34
SYS-000050,43.6,2025-02-28T02:29:34
SYS-000051,16.0,2025-03-04T02:29:34
SYS-000052,33.8,2025-03-09T02:29:34
SYS-000053,85.2,2025-03-03T02:29:34
SYS-000054,51.6,2025-03-02T02:29:34
SYS-000055,56.5,2025-03-08T02:29:34
SYS-000056,66.5,2025-03-02T02:29:34
SYS-000057,73.1,2025-02-28T02:29:34
SYS-000058,93.4,2025-03-03T02:29:34
SYS-000059,53.6,2025-03-05T02:29:34
SYS-000060,9.2,2025-02-28T02:29:34
SYS-000061,59.0,2025-03-03T02:29:34
SYS-000062,21.7,2025-03-02T02:29:34
SYS-000063,12.2,2025-03-03T02:29:34
SYS-000064,73.6,2025-03-01T02:29:34
SYS-000065,66.0,2025-03-03T02:29:34
SYS-000066,46.1,2025-02-28T02:29:34
SYS-000067,94.1,2025-03-06T02:29:34
SYS-000068,64.4,2025-03-01T02:29:34
SYS-000069,61.7,2025-03-01T02:29:34
SYS-000070,20.6,2025-03-07T02:29:34
SYS-000071,73.3,2025-03-05T02:29:34
SYS-000072,15.6,2025-02-28T02:29:34
SYS-000073,95.9,2025-03-03T02:29:34
SYS-000074,12.0,2025-03-06T02:29:34
SYS-000075,38.9,2025-03-06T02:29:34
SYS-000076,37.1,2025-03-05T02:29:34
SYS-000077,12.9,2025-03-01T02:29:34
SYS-000078,15.8,2025-03-04T02:29:34
SYS-000079,0.9,2025-03-01T02:29:34
SYS-000080,74.1,2025-03-09T02:29:34
SYS-000081,81.9,2025-03-01T02:29:34
SYS-000082,49.7,2025-02-28T02:29:34
SYS-000083,54.7,2025-03-06T02:29:34
SYS-000084,32.9,2025-03-01T02:29:34
SYS-000085,23.4,2025-03-07T02:29:34
SYS-000086,62.0,2025-03-02T02:29:34
SYS-000087,61.9,2025-03-04T02:29:34
SYS-000088,52.8,2025-03-08T02:29:34
SYS-000089,48.9,2025-03-03T02:29:34
SYS-000090,3.5,2025-03-01T02:29:34
SYS-000091,20.9,2025-03-07T02:29:34
SYS-000092,47.7,2025-03-09T02:29:34
SYS-000093,94.5,2025-03-05T02:29:34
SYS-000094,31.9,2025-02-28T02:29:34
SYS-000095,79.7,2025-03-06T02:29:34
SYS-000096,12.3,2025-03-01T02:29:34
SYS-000097,40.9,2025-03-09T02:29:34
SYS-000098,78.4,2025-03-02T02:29:34
SYS-000099,59.7,2025-03-04T02:29:34
SYS-000100,51.2,2025-03-07T02:29:34
