TrxID,Amount,Type,TransactionTime
SYS000001,18.4,CREDIT,2025-03-03T21:27:36
SYS000002,94.9,DEBIT,2025-02-28T21:27:36
SYS000003,14.6,DEBIT,2025-03-09T21:27:36
SYS000004,54.6,DEBIT,2025-03-07T21:27:36
SYS000005,51.5,CREDIT,2025-03-03T21:27:36
SYS000006,14.9,CREDIT,2025-03-02T21:27:36
SYS000007,35.6,CREDIT,2025-03-01T21:27:36
SYS000008,67.9,DEBIT,2025-03-05T21:27:36
SYS000009,48.5,DEBIT,2025-03-04T21:27:36
SYS000010,15.7,DEBIT,2025-03-02T21:27:36
SYS000011,48.5,DEBIT,2025-03-09T21:27:36
SYS000012,2.5,CREDIT,2025-03-04T21:27:36
SYS000013,70.8,DEBIT,2025-03-08T21:27:36
SYS000014,6.1,DEBIT,2025-03-01T21:27:36
SYS000015,32.7,CREDIT,2025-03-03T21:27:36
SYS000016,23.7,CREDIT,2025-03-07T21:27:36
SYS000017,10.4,CREDIT,2025-03-03T21:27:36
SYS000018,83.1,CREDIT,2025-03-07T21:27:36
SYS000019,91.0,DEBIT,2025-02-28T21:27:36
SYS000020,18.5,CREDIT,2025-03-01T21:27:36
SYS000021,60.9,CREDIT,2025-02-28T21:27:36
SYS000022,39.0,CREDIT,2025-03-09T21:27:36
SYS000023,74.7,DEBIT,2025-03-06T21:27:36
SYS000024,50.4,DEBIT,2025-03-06T21:27:36
SYS000025,10.5,CREDIT,2025-03-07T21:27:36
SYS000026,77.2,CREDIT,2025-03-07T21:27:36
SYS000027,92.8,DEBIT,2025-03-09T21:27:36
SYS000028,90.9,DEBIT,2025-03-08T21:27:36
SYS000029,4.0,DEBIT,2025-03-08T21:27:36
SYS000030,6.7,CREDIT,2025-03-09T21:27:36
SYS000031,55.4,CREDIT,2025-03-03T21:27:36
SYS000032,83.8,DEBIT,2025-03-06T21:27:36
SYS000033,4.8,CREDIT,2025-03-05T21:27:36
SYS000034,83.5,DEBIT,2025-03-06T21:27:36
SYS000035,90.9,CREDIT,2025-03-03T21:27:36
SYS000036,86.3,CREDIT,2025-03-02T21:27:36
SYS000037,2.1,DEBIT,2025-03-02T21:27:36
SYS000038,93.0,CREDIT,2025-03-01T21:27:36
SYS000039,0.3,DEBIT,2025-03-07T21:27:36
SYS000040,92.5,DEBIT,2025-03-08T21:27:36
SYS000041,37.1,CREDIT,2025-03-08T21:27:36
SYS000042,50.9,DEBIT,2025-03-08T21:27:36
SYS000043,74.0,CREDIT,2025-03-09T21:27:36
SYS000044,35.8,DEBIT,2025-03-06T21:27:36
SYS000045,26.5,CREDIT,2025-03-06T21:27:36
SYS000046,91.1,DEBIT,2025-03-07T21:27:36
SYS000047,25.9,CREDIT,2025-02-28T21:27:36
SYS000048,31.4,DEBIT,2025-03-05T21:27:36
SYS000049,69.2,CREDIT,2025-03-08T21:27:36
SYS000050,95.3,CREDIT,2025-03-09T21:27:36
SYS000051,49.7,DEBIT,2025-03-01T21:27:36
SYS000052,92.6,CREDIT,2025-03-03T21:27:36
SYS000053,44.4,CREDIT,2025-03-03T21:27:36
SYS000054,37.9,CREDIT,2025-03-06T21:27:36
SYS000055,48.5,CREDIT,2025-02-28T21:27:36
SYS000056,39.4,DEBIT,2025-03-09T21:27:36
SYS000057,32.6,DEBIT,2025-03-08T21:27:36
SYS000058,87.7,DEBIT,2025-03-08T21:27:36
SYS000059,68.4,DEBIT,2025-03-01T21:27:36
SYS000060,18.9,DEBIT,2025-03-04T21:27:36
SYS000061,84.8,CREDIT,2025-03-06T21:27:36
SYS000062,44.6,CREDIT,2025-03-01T21:27:36
SYS000063,76.4,CREDIT,2025-03-05T21:27:36
SYS000064,68.4,CREDIT,2025-03-08T21:27:36
