TrxID,Amount,TransactionTime
SYS-000001,61.2,2025-03-08T03:30:23
SYS-000002,91.2,2025-03-03T03:30:23
SYS-000003,55.5,2025-03-04T03:30:23
SYS-000004,73.1,2025-03-04T03:30:23
SYS-000005,65.3,2025-02-28T03:30:23
SYS-000006,89.7,2025-03-02T03:30:23
SYS-000007,94.8,2025-03-04T03:30:23
SYS-000008,45.0,2025-03-07T03:30:23
SYS-000009,24.2,2025-03-09T03:30:23
SYS-000010,47.7,2025-03-08T03:30:23
SYS-000011,73.0,2025-03-01T03:30:23
SYS-000012,18.3,2025-03-03T03:30:23
SYS-000013,54.3,2025-02-28T03:30:23
SYS-000014,28.6,2025-03-09T03:30:23
SYS-000015,12.7,2025-03-04T03:30:23
SYS-000016,60.4,2025-03-07T03:30:23
SYS-000017,61.6,2025-03-09T03:30:23
SYS-000018,9.2,2025-03-01T03:30:23
SYS-000019,55.6,2025-02-28T03:30:23
SYS-000020,85.5,2025-03-02T03:30:23
SYS-000021,2.8,2025-03-08T03:30:23
SYS-000022,34.9,2025-03-05T03:30:23
SYS-000023,53.0,2025-02-28T03:30:23
SYS-000024,37.4,2025-03-04T03:30:23
SYS-000025,10.9,2025-02-28T03:30:23
SYS-000026,14.5,2025-03-02T03:30:23
SYS-000027,96.7,2025-03-01T03:30:23
SYS-000028,1.8,2025-03-01T03:30:23
SYS-000029,42.1,2025-02-28T03:30:23
SYS-000030,96.7,2025-03-04T03:30:23
SYS-000031,91.5,2025-03-08T03:30:23
SYS-000032,33.8,2025-03-07T03:30:23
SYS-000033,11.6,2025-03-01T03:30:23
SYS-000034,42.4,2025-02-28T03:30:23
SYS-000035,58.8,2025-02-28T03:30:23
SYS-000036,57.0,2025-03-09T03:30:23
SYS-000037,17.5,2025-03-09T03:30:23
SYS-000038,77.3,2025-03-02T03:30:23
SYS-000039,47.2,2025-03-05T03:30:23
SYS-000040,38.8,2025-03-09T03:30:23
SYS-000041,71.0,2025-03-05T03:30:23
SYS-000042,22.2,2025-03-09T03:30:23
SYS-000043,86.8,2025-03-05T03:30:23
SYS-000044,12.2,2025-03-07T03:30:23
SYS-000045,26.6,2025-02-28T03:30:23
SYS-000046,95.9,2025-03-03T03:30:23
SYS-000047,15.2,2025-03-02T03:30:23
SYS-000048,6.3,2025-03-03T03:30:23
SYS-000049,89.4,2025-03-03T03:30:23
SYS-000050,76.9,2025-03-09T03:30:23
SYS-000051,29.9,2025-03-08T03:30:23
SYS-000052,93.8,2025-03-07T03:30:23
SYS-000053,36.3,2025-03-06T03:30:23
SYS-000054,81.3,2025-03-02T03:30:23
SYS-000055,50.8,2025-03-05T03:30:23
SYS-000056,23.3,2025-03-05T03:30:23
SYS-000057,4.4,2025-03-03T03:30:23
SYS-000058,40.5,2025-03-05T03:30:23
SYS-000059,94.1,2025-03-04T03:30:23
SYS-000060,20.7,2025-03-08T03:30:23
SYS-000061,47.3,2025-03-07T03:30:23
SYS-000062,94.7,2025-03-04T03:30:23
SYS-000063,90.9,2025-03-05T03:30:23
SYS-000064,26.2,2025-03-02T03:30:23
SYS-000065,17.5,2025-03-07T03:30:23
SYS-000066,38.1,2025-03-02T03:30:23
SYS-000067,77.4,2025-03-06T03:30:23
SYS-000068,31.6,2025-03-02T03:30:23
SYS-000069,23.7,2025-03-08T03:30:23
SYS-000070,13.7,2025-03-01T03:30:23
SYS-000071,87.4,2025-02-28T03:30:23
SYS-000072,7.9,2025-02-28T03:30:23
SYS-000073,68.7,2025-03-07T03:30:23
SYS-000074,29.3,2025-03-03T03:30:23
SYS-000075,86.8,2025-03-05T03:30:23
SYS-000076,39.5,2025-03-05T03:30:23
SYS-000077,29.9,2025-03-02T03:30:23
SYS-000078,90.5,2025-03-03T03:30:23
SYS-000079,75.3,2025-02-28T03:30:23
SYS-000080,58.6,2025-03-07T03:30:23
SYS-000081,4.7,2025-03-03T03:30:23
SYS-000082,20.6,2025-03-03T03:30:23
SYS-000083,71.7,2025-03-04T03:30:23
SYS-000084,45.3,2025-03-05T03:30:23
SYS-000085,97.2,2025-03-01T03:30:23
SYS-000086,55.4,2025-03-07T03:30:23
SYS-000087,66.2,2025-03-08T03:30:23
SYS-000088,91.7,2025-03-08T03:30:23
SYS-000089,65.5,2025-03-01T03:30:23
SYS-000090,5.7,2025-03-09T03:30:23
SYS-000091,11.6,2025-03-08T03:30:23
SYS-000092,86.3,2025-03-01T03:30:23
SYS-000093,42.7,2025-02-28T03:30:23
SYS-000094,34.8,2025-03-08T03:30:23
SYS-000095,11.0,2025-03-03T03:30:23
SYS-000096,11.5,2025-03-03T03:30:23
SYS-000097,2.2,2025-02-28T03:30:23
SYS-000098,37.0,2025-03-05T03:30:23
SYS-000099,87.3,2025-03-07T03:30:23
SYS-000100,65.9,2025-03-08T03:30:23
